name,agency,location,genres,website
Jennie Dunham,Dunham Literary,New York,"Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Young Adult, Children's Book, Middle Grade, Picture Book",https://www.dunhamlit.com/
Dan Conaway,Writers House,New York,"Fiction, Commercial Fiction, Crime Fiction, Horror, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction, Politics, Diverse Fiction, BIPOC, LGBTQ, Children's Book, Fantasy, Memoir, Young Adult",http://www.writershouse.com/
Alex Glass,Glass Literary Management,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Cookbook, Self-Help, Spirituality, Sports",http://www.glassliterary.com/
Laura Bradford,Bradford Literary Agency,San Diego,"Fiction, Fantasy, Graphic Novel, Historical Fiction, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Middle Grade, Diverse Fiction, African-American, BIPOC, LGBTQ",https://bradfordlit.com/
Sallyanne Sweeney,Mulcahy Associates,London,"Nonfiction, Politics, Self-Help",https://mmbcreative.com/
Victoria Doherty-Munro,Writers House,New York,"Fiction, Young Adult, Children's Book, Middle Grade, Narrative Nonfiction",http://www.writershouse.com/
Elana Roth Parker,Laura Dail Literary Agency,New York,"Young Adult, Middle Grade, Commercial Fiction, Mystery, Romance, Thriller",http://www.ldlainc.com/
Margret McBride,Margret McBride Literary Agency,San Diego,"Fiction, Commercial Fiction, Historical Fiction, Nonfiction, Business Book, Memoir, Self-Help, Politics, Feminism, Narrative Nonfiction, Humor, Mystery, Cookbook, LGBTQ",http://www.mcbrideliterary.com/
Faye Bender,The Book Group,New York,"Fiction, Commercial Fiction, Literary Fiction, Young Adult, Children's Book, Middle Grade",http://www.thebookgroup.com/
Steven Malk,Writers House,San Diego,"Fiction, Young Adult, Children's Book",http://www.writershouse.com/
Christine Witthohn,Book Cents Literary Agency,New York,"Fiction, Commercial Fiction, Cookbook, Feminism, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult",https://www.bookcentsliteraryagency.com/
Farley Chase,Chase Literary Agency,New York,"Fiction, Commercial Fiction, Historical Fiction, Humor, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Sports, Fantasy, Business Book, Horror, Politics, Self-Help",http://chaseliterary.com/
Jeff Kleinman,Folio Literary Management,New York,"Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Politics",https://www.foliolit.com/
Laura Langlie,Laura Langlie Agency,New York,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Humor, Literary Fiction, Mystery, Romance, Thriller, Young Adult, Nonfiction, Memoir, Politics, Diverse Fiction, LGBTQ, Feminism, Middle Grade",https://querytracker.net/agent/434
Meg Thompson,Thompson Literary Agency,New York,"Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports, Feminism, Self-Help",https://thompsonliterary.com/
Alison Fargis,Stonesong,New York,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Business Book, Narrative Nonfiction, Self-Help, Children's Book, Middle Grade",https://www.stonesong.com
Carol Mann,Carol Mann Agency,New York,"Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Politics",http://carolmannagency.com/
Sarah Younger,Nancy Yost Literary Agency,New York,"Fiction, Fantasy, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Christian, Commercial Fiction",http://www.nyliterary.com/
Anne Hawkins,John Hawkins & Associates,New York,"Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Politics, Feminism",https://www.jhalit.com/#Home
Rebecca Sherman,Writers House,New York,"Young Adult, Children's Book, Middle Grade, Picture Book, Graphic Novel",http://www.writershouse.com/
Laura Rennert,Andrea Brown Literary Agency,Chicago,"Fiction, Commercial Fiction, Fantasy, Graphic Novel, Horror, Science Fiction, Thriller, Young Adult, Diverse Fiction, Feminism, Mystery, Romance, Children's Book, Historical Fiction, LGBTQ, Literary Fiction, Women's Fiction",http://www.andreabrownlit.com/
Kirby Kim,Janklow & Nesbit Associates,New York,"Fiction, Commercial Fiction, Fantasy, Humor, Literary Fiction, Mystery, Science Fiction, Thriller, Nonfiction, Narrative Nonfiction",http://www.janklowandnesbit.com/
Amy Berkower,Writers House,New York,"Fiction, Chick Lit, Commercial Fiction, Literary Fiction, Romance, Thriller, Women's Fiction",http://www.writershouse.com/
Caryn Wiseman,Andrea Brown Literary Agency,Chicago,"Young Adult, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ",https://www.andreabrownlit.com/
Jessica Saint Jean,Root Literary,Boston,"Fiction, Graphic Novel, Children's Book, Middle Grade, Diverse Fiction, Picture Book",https://www.rootliterary.com/team
Hillary Jacobson,Creative Artists Agency,Los Angeles,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Romance, Young Adult, Memoir, Historical Fiction, Horror, Crime Fiction, Humor, Women's Fiction",https://www.caa.com/
Nancy Gallt,Gallt & Zacker Literary Agency,Newark,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book",https://www.galltzacker.com/
Katie Kotchman,Don Congdon Associates,New York,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Politics",http://www.doncongdon.com/
Johanna Castillo,Writers House,New York,"Fiction, Romance, Nonfiction, Diverse Fiction, #ownvoices, Commercial Fiction, Narrative Nonfiction, African-American, Literary Fiction",http://www.writershouse.com/
Mandy Hubbard,Emerald City Literary Agency,Seattle,"Young Adult, Middle Grade, Children's Book, Nonfiction",http://www.emeraldcityliterary.com/
Sandy Lu,Book Wyrm Literary Agency,New York,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Humor, Literary Fiction, Thriller, Young Adult, Nonfiction, Narrative Nonfiction, Cookbook, Horror, Science Fiction, Women's Fiction, Business Book",http://www.bookwyrmlit.com/
Susan Rabiner,Susan Rabiner Literary Agency,New York,"Nonfiction, Business Book, Narrative Nonfiction, Self-Help",https://www.rabinerlit.com/
Nancy Yost,Nancy Yost Literary Agency,New York,"Fiction, Thriller, Women's Fiction, Fantasy, Romance, Science Fiction, Commercial Fiction, Crime Fiction",http://www.nyliterary.com/
Jenni Ferrari-Adler,Verve Talent & Literary,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Commercial Fiction, Cookbook, Middle Grade, Short Story, Young Adult",https://vervetla.com/
John Cusick,Folio Literary Management,New York,"Young Adult, Children's Book, Middle Grade, Commercial Fiction, Fantasy, Fiction, Graphic Novel, Horror, New Adult, Picture Book, Romance, Science Fiction, Women's Fiction",http://www.foliojr.com/
Laura Blake Peterson,"Curtis Brown, Ltd.",New York,"Fiction, Chick Lit, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Spirituality, Children's Book, Middle Grade",https://curtisbrown.com/
Carrie Pestritto,Laura Dail Literary Agency,New York,"Fiction, Commercial Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Middle Grade, LGBTQ, Chick Lit, Fantasy, Narrative Nonfiction, Business Book, Crime Fiction, Feminism, Historical Fiction, Horror, New Adult, Self-Help",http://www.ldlainc.com/
Jodi Reamer,Writers House,New York,"Fiction, Commercial Fiction, Fantasy, Mystery, Romance, Science Fiction, Thriller, Young Adult, Children's Book, Middle Grade, Picture Book, Women's Fiction",http://www.writershouse.com/
Tracy Marchini,BookEnds Literary Agency,Newark,"Children's Book, Middle Grade, Picture Book",http://www.bookendsliterary.com/
Scott Eagan,Greyhaus Literary Agency,Seattle,"Fiction, Romance, Women's Fiction",http://www.greyhausagency.com
Cassandra Rodgers,5 Otter Literary,Toronto,"Fiction, Thriller, Nonfiction, Business Book, Memoir, Politics, Sports",https://fiveotterliterary.com/
Margaret Sutherland Brown,Folio Literary Management,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction",https://www.foliolit.com/team
Will Francis,Janklow & Nesbit Associates,London,"Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Politics",https://janklowandnesbit.co.uk/
Nicole Aragi,Aragi Inc.,New York,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Feminism",http://www.aragi.net
Warren Frazier,John Hawkins & Associates,New York,"Fiction, Literary Fiction, Business Book, Graphic Novel, Memoir, Narrative Nonfiction, Short Story",http://www.jhalit.com/
Lane Heymont,The Tobias Agency,Nashville,"Fiction, Commercial Fiction, Fantasy, Horror, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, #ownvoices, BIPOC, LGBTQ",https://www.thetobiasagency.com/
Helen Heller,The Helen Heller Agency,Toronto,"Fiction, Commercial Fiction, Literary Fiction, Historical Fiction, Thriller",https://thehelenhelleragency.com/
Jenny Bent,The Bent Agency,New York,"Fiction, Commercial Fiction, Humor, Literary Fiction, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Self-Help, Middle Grade, Diverse Fiction, BIPOC, Horror",http://www.thebentagency.com/
David Fugate,LaunchBooks Literary Agency,San Diego,"Action & Adventure, Fantasy, Humor, Science Fiction, Thriller, Nonfiction, Business Book, Narrative Nonfiction, Politics, Sports",https://launchbooks.com/
Beth Phelan,Gallt & Zacker Literary Agency,Newark,"Fiction, Fantasy, Young Adult, Children's Book, Middle Grade, Diverse Fiction, Action & Adventure, Historical Fiction, Horror, Literary Fiction, Mystery, Romance",https://www.galltzacker.com/
Suzanne Gluck,William Morris Endeavor,Los Angeles,"Fiction, Literary Fiction, Nonfiction, Memoir, Politics",https://www.wmebookdepartment.com/
Suzie Townsend,"New Leaf Literary & Media, Inc.",New York,"Fiction, Women's Fiction, Narrative Nonfiction, Nonfiction",http://www.newleafliterary.com/
Sydelle Kramer,Susan Rabiner Literary Agency,New York,"Nonfiction, Memoir, Narrative Nonfiction, Politics, Sports, LGBTQ",https://www.rabinerlit.com/
Cameron McClure,Donald Maass Literary Agency,New York,"Fiction, Literary Fiction, Mystery, Science Fiction, Thriller, Diverse Fiction, LGBTQ, Commercial Fiction, Fantasy, Historical Fiction, Crime Fiction, Horror",http://maassagency.com/
Merrilee Heifetz,Writers House,New York,"Fiction, Commercial Fiction, Fantasy, Science Fiction, Young Adult, Middle Grade, Memoir, Narrative Nonfiction",http://www.writershouse.com/
Joanne Wyckoff,Carol Mann Agency,New York,"Humor, Nonfiction, Memoir, Narrative Nonfiction, Spirituality, Sports, Diverse Fiction, African-American, Feminism",http://carolmannagency.com/
Cathryn Summerhayes,Curtis Brown UK,London,"Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Self-Help",https://www.curtisbrown.co.uk/
Jessica Sinsheimer,Context Literary Agency,New York,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, New Adult, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Cookbook, Children's Book, Middle Grade, Diverse Fiction, BIPOC, LGBTQ, Narrative Nonfiction, Self-Help",https://www.contextlit.com/
Alexa Stark,Writers House,New York,"Fiction, Commercial Fiction, Literary Fiction, Thriller, Nonfiction, Narrative Nonfiction, Feminism, Romance, Women's Fiction",https://www.writershouse.com/
Molly Friedrich,The Friedrich Agency,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Diverse Fiction, Humor, Narrative Nonfiction",http://www.friedrichagency.com/
Simon Lipskar,Writers House,New York,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Science Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction",http://www.writershouse.com/
Sam Stoloff,"Frances Goldin Literary Agency, Inc.",New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Historical Fiction",http://www.goldinlit.com/
Bridgette Kam,Westwood Creative Artists,Toronto,"Children's Book, Fiction, Graphic Novel, Middle Grade, Nonfiction, Young Adult",https://wcaltd.com/bridgette-kam/
Rach Crawford,Wolf Literary Services,New York,"Feminism, Horror, LGBTQ, Literary Fiction, Fantasy, Humor, Memoir, Narrative Nonfiction, Nonfiction",https://www.wolflit.com
Pippa Masson,Curtis Brown Australia,Sydney,"Fiction, Nonfiction, Picture Book, Children's Book, Crime Fiction, Historical Fiction, Memoir, Middle Grade, Thriller",https://www.curtisbrown.com.au/pippa-masson
Victoria Sanders,Victoria Sanders & Associates,New York,"Fiction, Chick Lit, Commercial Fiction, Nonfiction, Memoir, Diverse Fiction",http://www.victoriasanders.com
Sorche Elizabeth Fairbank,Fairbank Literary Representation,New York,"Fiction, Literary Fiction, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Children's Book, Middle Grade, Picture Book, Diverse Fiction, Feminism, Commercial Fiction, Politics, Sports, Women's Fiction",http://www.fairbankliterary.com/
Jennifer Lyons,Jennifer Lyons Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Narrative Nonfiction, Children's Book, Middle Grade",https://www.jenniferlyonsliteraryagency.com/
Brian Cook,The Authors' Agent,Sydney,"Young Adult, Children's Book, Fiction, Middle Grade, Narrative Nonfiction, Nonfiction",http://www.theauthorsagent.com.au/
Kaitlyn Katsoupis,Belcastro Literary Agency,New York,"Commercial Fiction, Graphic Novel, Historical Fiction, New Adult, Romance, Young Adult, Middle Grade, LGBTQ, Horror, Women's Fiction",http://belcastroagency.com/
Donovan Levine,Neighborhood Literary,Philadelphia,"Fiction, Historical Fiction, Memoir, Mystery, Narrative Nonfiction, New Adult, Nonfiction, Thriller, Young Adult",https://www.neighborhoodliterary.com/about
Christine Goss,FinePrint Literary Management,New York,"Action & Adventure, Commercial Fiction, Cookbook, Diverse Fiction, Fantasy, Feminism, Graphic Novel, Historical Fiction, Horror, Humor, LGBTQ, Literary Fiction, Memoir, Mystery, New Adult, Nonfiction, Romance, Science Fiction, Self-Help, Thriller, Women's Fiction, Young Adult",https://fineprintlit.com/christine-goss.html
Arianna Siddiqui,FinePrint Literary Management,New York,"Fantasy, Fiction, Horror, Mystery, Nonfiction, Romance, Thriller, Young Adult",https://fineprintlit.com/arianna-siddiqui.html
Bill Hamilton,A.M. Heath Literary Agents,London,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Nonfiction, Politics, Children's Book, Crime Fiction, Fantasy, Horror, Memoir, Narrative Nonfiction, New Adult, Picture Book, Romance, Science Fiction, Women's Fiction, Young Adult",https://amheath.com
Grace Milusich,Looking Glass Literary & Media,San Diego,"Children's Book, Commercial Fiction, Cookbook, Crime Fiction, Fantasy, Fiction, Historical Fiction, Horror, LGBTQ, Literary Fiction, Memoir, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, BIPOC, Diverse Fiction",https://www.lookingglasslit.com/
Katie Grimm,"Curtis Brown, Ltd.",New York,"Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Young Adult, Nonfiction, Narrative Nonfiction, Middle Grade, Diverse Fiction, LGBTQ, Feminism, Humor, Short Story",https://curtisbrown.com/
Veronica Goldstein,United Talent Agency,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Fantasy",https://www.unitedtalent.com/
Kimberley Cameron,Kimberley Cameron & Associates,San Francisco,"Fiction, Commercial Fiction, Historical Fiction, Horror, Literary Fiction, Mystery, Science Fiction, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Self-Help, Spirituality",https://www.kimberleycameron.com/
Rachel Brooks,BookEnds Literary Agency,Newark,"Fiction, Commercial Fiction, Mystery, Romance, Women's Fiction, Young Adult, Diverse Fiction, #ownvoices, BIPOC, LGBTQ",http://www.bookendsliterary.com/
Lisa DiMona,Writers House,New York,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Spirituality",http://www.writershouse.com/
Charlotte Wenger,Prospect Agency,Newark,"Nonfiction, Memoir, Children's Book, Picture Book",http://www.prospectagency.com
Daniel Strone,Trident Media Group,New York,"Nonfiction, Memoir",https://www.tridentmediagroup.com/
Julia Kenny,"Dunow, Carlson & Lerner Literary Agency",New York,"Fiction, Literary Fiction, Mystery, Thriller, Cookbook, Memoir, Middle Grade, Narrative Nonfiction, Young Adult",https://www.dclagency.com/
Angela Miller,Folio Literary Management,New York,"Nonfiction, Business Book, Cookbook, Self-Help, Feminism",https://www.foliolit.com/
Lauren Miller,HMMG Pty Ltd,Melbourne,"Nonfiction, Memoir",http://www.harrymmiller.com.au/
Suzy Evans,Suzy Evans Literary Agency,San Diego,"Fiction, Graphic Novel, Humor, Thriller, Young Adult, Nonfiction, Business Book, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Sports, Children's Book, Middle Grade, Diverse Fiction",https://evansliterary.com/
Jevon Bolden,Embolden Media Group,Orlando,"Fiction, Young Adult, Nonfiction, Christian, Self-Help, Spirituality, Children's Book, Diverse Fiction, African-American, BIPOC, Commercial Fiction",http://www.jevonbolden.com/
David Vigliano,Vigliano Associates,New York,"Commercial Fiction, Nonfiction, Narrative Nonfiction",http://www.viglianoassociates.com/
Stuart Krichevsky,Stuart Krichevsky Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://skagency.com/
Scott Miller,Trident Media Group,New York,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Graphic Novel, Horror, Literary Fiction, Mystery, Science Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade",https://www.tridentmediagroup.com/
Kate Garrick,Salky Literary Management,New York,"Fiction, Humor, Literary Fiction, Short Story, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction",https://www.salkyliterarymanagement.com/
Chris Lotts,The Lotts Agency,New York,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Horror, Science Fiction, Thriller, Narrative Nonfiction",https://www.lottsagency.com/
Sarah Jane Freymann,Sarah Jane Freymann Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Young Adult, Nonfiction, Cookbook, Memoir",http://www.sarahjanefreymann.com/
Danya Kukafka,Trellis Literary Management,Boston,"Fiction, Commercial Fiction, Crime Fiction, Horror, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, LGBTQ, Romance, Science Fiction, Chick Lit, Historical Fiction, Short Story",https://www.trellisliterary.com/
Preeti Gill,Majha House,New Delhi,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Feminism",http://www.majhahouse.com/
Haley Casey,"Creative Media Agency, Inc.",New York,"Commercial Fiction, New Adult, Romance, Women's Fiction, Young Adult, Memoir, Middle Grade, Feminism, LGBTQ, Fantasy, Narrative Nonfiction, Chick Lit, Horror, Science Fiction, Fiction",http://cmalit.com/
Allison Remcheck Pernetti,Stimola Literary Studio,New York,"Fiction, Young Adult, Middle Grade, Mystery, Picture Book, Thriller",https://www.stimolaliterarystudio.com/
Alexandra Levick,Writers House,New York,"Fiction, Commercial Fiction, Fantasy, Horror, Literary Fiction, Science Fiction, Thriller, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, #ownvoices",http://www.writershouse.com/
Lara Perkins,Andrea Brown Literary Agency,Chicago,"Fiction, Mystery, Young Adult, Nonfiction, Narrative Nonfiction, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ",http://www.andreabrownlit.com/
Taylor Martindale Kean,Full Circle Literary,San Diego,"Fiction, Young Adult, Children's Book, Middle Grade, Diverse Fiction, Commercial Fiction, Fantasy, Graphic Novel",https://www.fullcircleliterary.com/
Carrie Howland,"Howland Literary, LLC",New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Cookbook",https://howlandliterary.com/
Maria Carvainis,"Maria Carvainis Agency, Inc.",New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Business Book, Memoir",https://www.mariacarvainisagency.com/
Caroline Eisenmann,Frances Goldin Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, BIPOC, Diverse Fiction",https://goldinlit.com/
BJ Robbins,BJ Robbins Literary Agency,Los Angeles,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Thriller, Nonfiction, Memoir, Diverse Fiction",https://www.bjrobbinsliterary.com/
Sharon Pelletier,"Dystel, Goderich & Bourret",New York,"Commercial Fiction, Crime Fiction, Literary Fiction, Mystery, Thriller, Narrative Nonfiction, Diverse Fiction, LGBTQ, Romance",https://www.dystel.com/
Masha Gunic,Azantian Literary Agency,San Francisco,"Fiction, Young Adult, Children's Book, Middle Grade",http://www.azantianlitagency.com/
Andrew Stuart,The Stuart Agency,New York,"Fiction, Literary Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Sports",http://www.stuartagency.com
Amy Williams,The Williams Company,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://williamsliterary.com/
Daniel Greenberg,Levine Greenberg Rostan Literary Agency,New York,"Humor, Nonfiction, Memoir, Narrative Nonfiction",https://lgrliterary.com/
Ethan Bassoff,WME Books,Washington,"Fiction, Nonfiction, Commercial Fiction, Fantasy, Humor, Literary Fiction, Memoir, Science Fiction, Young Adult",https://wmebookdepartment.com/
Justin Brouckaert,Aevitas Creative Management,Boston,"Short Story, Nonfiction, Memoir, Narrative Nonfiction, Politics, Sports, Humor, Literary Fiction, Self-Help",https://aevitascreative.com/
Meredith Kaffel Simonoff,The Gernert Company,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",https://www.thegernertco.com/
Annie Hwang,Ayesha Pande Literary,New York,"Fiction, Fantasy, Humor, Literary Fiction, Nonfiction, Narrative Nonfiction, Diverse Fiction, BIPOC, Feminism, LGBTQ",http://www.pandeliterary.com/
Jim Rutman,Sterling Lord Literistic Inc.,New York,"Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Memoir",https://www.sll.com/
Joy Harris,The Joy Harris Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://www.joyharrisliterary.com/
Julia Kardon,HG Literary,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://hsgagency.com/
Denise Shannon,Denise Shannon Literary Agency,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Commercial Fiction",https://deniseshannonagency.com/
Wendy Lawton,Books & Such Literary Agency,San Francisco,"Nonfiction, Christian, Spirituality, Fiction, Young Adult",https://www.booksandsuch.com/
Melissa Danaczko,Stuart Krichevsky Literary Agency,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Memoir",http://skagency.com/
Sheila Crowley,Curtis Brown UK,London,"Fiction, Commercial Fiction, Crime Fiction, Literary Fiction, Thriller, Nonfiction, Business Book, Memoir, Sports, Mystery, Romance, Women's Fiction",https://www.curtisbrown.co.uk/
Regina Brooks,Serendipity Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Young Adult, Nonfiction, Business Book, Narrative Nonfiction, Politics, Self-Help, Spirituality, Children's Book, Diverse Fiction, African-American",https://www.serendipitylit.com/
Julie Gwinn,The Seymour Agency,New York,"Fiction, Nonfiction, Self-Help, Spirituality, Sports, Diverse Fiction, Action & Adventure, Business Book, Chick Lit, Commercial Fiction, Cookbook, Fantasy, Historical Fiction, LGBTQ, Narrative Nonfiction, Romance, Thriller",https://theseymouragency.com/
Alia Hanna Habib,The Gernert Company,New York,"Memoir, Narrative Nonfiction, Fiction, Literary Fiction",http://www.thegernertco.com/
Danielle Chiotti,Upstart Crow Literary,New York,"Fiction, Young Adult, Nonfiction, Cookbook, Children's Book, Middle Grade",http://www.upstartcrowliterary.com/
Eric Smith,Neighborhood Literary,Philadelphia,"Fantasy, Fiction, Literary Fiction, Memoir, Middle Grade, Nonfiction, Romance, Science Fiction, Young Adult",https://www.neighborhoodliterary.com/about
Ali Herring,Spencerhill Associates,Tampa,"Fiction, Commercial Fiction, Fantasy, Romance, Science Fiction, Women's Fiction, Young Adult, Middle Grade, Horror, New Adult, Spirituality, Thriller",https://www.spencerhillassociates.com/
Susan Ginsburg,Writers House,New York,"Fiction, Literary Fiction, Nonfiction, Young Adult",http://www.writershouse.com/
Jacqueline Lipton,The Tobias Agency,New York,"Romance, Young Adult, Nonfiction, Middle Grade, Mystery, Action & Adventure, Business Book, Chick Lit, Commercial Fiction, Diverse Fiction, Fantasy, Feminism, Horror, LGBTQ, Narrative Nonfiction, Politics, Thriller",https://www.thetobiasagency.com/
Michelle Kass,Michelle Kass Associates,London,"Fiction, Mystery, Young Adult, Middle Grade, Action & Adventure, BIPOC, Commercial Fiction, Crime Fiction, Diverse Fiction, Feminism, LGBTQ, Literary Fiction, Thriller",https://michellekass.co.uk/
Kim Lindman,Stonesong,New York,"Nonfiction, Cookbook, Narrative Nonfiction, African-American, BIPOC, Self-Help, Fiction, Historical Fiction, Literary Fiction, Mystery",https://www.stonesong.com
Moe Ferrara,BookEnds Literary Agency,Newark,"Fiction, Fantasy, Horror, Romance, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, #ownvoices, BIPOC, LGBTQ",http://www.bookendsliterary.com/
Mita Kapur,Siyahi,New Delhi,"Fiction, Nonfiction, Memoir, BIPOC, Diverse Fiction, Literary Fiction, Narrative Nonfiction",http://siyahi.in/
Whitney Ross,High Line Literary Collective,New York,"Fiction, Action & Adventure, Commercial Fiction, Fantasy, Historical Fiction, New Adult, Romance, Science Fiction, Women's Fiction, Young Adult, Nonfiction, Cookbook, Children's Book, Middle Grade",https://www.highlineliterary.com/
William LoTurco,LoTurco Literary,New York,"Nonfiction, Memoir, Narrative Nonfiction, Sports",http://loturcoliterary.com/
Antoinëtte V. Sluytman,Looking Glass Literary & Media,San Diego,"African-American, BIPOC, Fantasy, Historical Fiction, Young Adult, Diverse Fiction, Graphic Novel, #ownvoices",https://www.lookingglasslit.com/
Ted Weinstein,Ted Weinstein Literary Management,New York,"Nonfiction, Business Book, Cookbook, Narrative Nonfiction, Memoir",https://www.twliterary.com/
Robert Gottlieb,Trident Media Group,New York,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Mystery, Romance, Science Fiction, Thriller",https://www.tridentmediagroup.com/
Jolene Haley,Donald Maass Literary Agency,San Diego,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Horror, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Self-Help, Spirituality, Children's Book, Middle Grade",https://maassagency.com/
PJ Mark,Janklow & Nesbit Associates,New York,"Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://www.janklowandnesbit.com/
Briar Heckman,Westwood Creative Artists,Toronto,"Commercial Fiction, Cookbook, Fiction, Literary Fiction, Narrative Nonfiction, Nonfiction",https://wcaltd.com/briar-heckman/
Paula Weiman,ASH Literary,New York,"Fiction, Young Adult, Graphic Novel, Horror, Picture Book",https://ashliterary.com/
Dana Newman,Dana Newman Literary,Los Angeles,"Fiction, Literary Fiction, Women's Fiction, Nonfiction, Business Book, Cookbook, Memoir, Narrative Nonfiction, Politics, Self-Help, Sports, Thriller, Commercial Fiction, Spirituality",https://www.dananewman.com/
John Silbersack,The Bent Agency,New York,"Fiction, Historical Fiction, New Adult, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Children's Book, Middle Grade, Memoir",https://www.thebentagency.com/
